scenario_id,name,category,database,volume,trial,time_ms
S2,Rekomendacje collaborative filtering,SELECT,mongo,small,3,10.099
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,mongo,small,1,8.106
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,mongo,small,2,7.939
S3,TOP 100 tresci wg ogladalnosci (ostatni miesiac),SELECT,mongo,small,3,7.965
S4,Wyszukiwanie po tytule (regex ILIKE),SELECT,mongo,small,1,1.816
S4,Wyszukiwanie po tytule (regex ILIKE),SELECT,mongo,small,2,1.441
S4,Wyszukiwanie po tytule (regex ILIKE),SELECT,mongo,small,3,1.179
S5,Historia ogladania profilu (50 ostatnich z JOIN),SELECT,mongo,small,1,2.098
S5,Historia ogladania profilu (50 ostatnich z JOIN),SELECT,mongo,small,2,1.727
S5,Historia ogladania profilu (50 ostatnich z JOIN),SELECT,mongo,small,3,1.805
S6,Filmografia osoby (embedded cast lookup),SELECT,mongo,small,1,1.584
S6,Filmografia osoby (embedded cast lookup),SELECT,mongo,small,2,1.739
S6,Filmografia osoby (embedded cast lookup),SELECT,mongo,small,3,1.316
U1,Aktualizacja postepu ogladania,UPDATE,mongo,small,1,0.769
U1,Aktualizacja postepu ogladania,UPDATE,mongo,small,2,0.598
U1,Aktualizacja postepu ogladania,UPDATE,mongo,small,3,0.605
U2,Przeliczenie avg_rating (aggregation pipeline),UPDATE,mongo,small,1,1.515
U2,Przeliczenie avg_rating (aggregation pipeline),UPDATE,mongo,small,2,1.333
U2,Przeliczenie avg_rating (aggregation pipeline),UPDATE,mongo,small,3,1.433
U3,Masowa zmiana planu subskrypcji (500 dokumentow),UPDATE,mongo,small,1,4.149
U3,Masowa zmiana planu subskrypcji (500 dokumentow),UPDATE,mongo,small,2,4.607
U3,Masowa zmiana planu subskrypcji (500 dokumentow),UPDATE,mongo,small,3,4.404
U4,Aktualizacja danych uzytkownika (email+phone),UPDATE,mongo,small,1,0.621
U4,Aktualizacja danych uzytkownika (email+phone),UPDATE,mongo,small,2,0.607
U4,Aktualizacja danych uzytkownika (email+phone),UPDATE,mongo,small,3,0.606
U5,Oznaczenie tresci jako nieaktywnej,UPDATE,mongo,small,1,0.706
U5,Oznaczenie tresci jako nieaktywnej,UPDATE,mongo,small,2,0.604
U5,Oznaczenie tresci jako nieaktywnej,UPDATE,mongo,small,3,0.56
U6,Masowa aktualizacja popularity_score (bulk_write),UPDATE,mongo,small,1,8.886
U6,Masowa aktualizacja popularity_score (bulk_write),UPDATE,mongo,small,2,8.963
U6,Masowa aktualizacja popularity_score (bulk_write),UPDATE,mongo,small,3,13.985
D1,Usuniecie tresci (brak CASCADE — reczne czyszczenie),DELETE,mongo,small,1,7.609
D1,Usuniecie tresci (brak CASCADE — reczne czyszczenie),DELETE,mongo,small,2,7.533
D1,Usuniecie tresci (brak CASCADE — reczne czyszczenie),DELETE,mongo,small,3,7.344
D2,Usuniecie profilu z historia (pull + delete_many),DELETE,mongo,small,1,2.86
D2,Usuniecie profilu z historia (pull + delete_many),DELETE,mongo,small,2,2.496
D2,Usuniecie profilu z historia (pull + delete_many),DELETE,mongo,small,3,2.445
D3,Czyszczenie starej historii ogladania,DELETE,mongo,small,1,1.307
D3,Czyszczenie starej historii ogladania,DELETE,mongo,small,2,1.413
D3,Czyszczenie starej historii ogladania,DELETE,mongo,small,3,1.178
D4,Usuniecie pozycji z my_list,DELETE,mongo,small,1,0.729
D4,Usuniecie pozycji z my_list,DELETE,mongo,small,2,0.701
D4,Usuniecie pozycji z my_list,DELETE,mongo,small,3,0.628
D5,Usuniecie subskrypcji z platnosciami,DELETE,mongo,small,1,1.228
D5,Usuniecie subskrypcji z platnosciami,DELETE,mongo,small,2,1.258
D5,Usuniecie subskrypcji z platnosciami,DELETE,mongo,small,3,1.325
D6,Masowe usuniecie uzytkownikow status=deleted,DELETE,mongo,small,1,0.989
D6,Masowe usuniecie uzytkownikow status=deleted,DELETE,mongo,small,2,1.064
D6,Masowe usuniecie uzytkownikow status=deleted,DELETE,mongo,small,3,1.06
I1,Rejestracja uzytkownika (User+Profile+Subscription+relacje),INSERT,neo4j,small,1,4.421
I1,Rejestracja uzytkownika (User+Profile+Subscription+relacje),INSERT,neo4j,small,2,7.008
I1,Rejestracja uzytkownika (User+Profile+Subscription+relacje),INSERT,neo4j,small,3,2.774
I2,Batch insert relacji WATCHED (1000),INSERT,neo4j,small,1,91.412
I2,Batch insert relacji WATCHED (1000),INSERT,neo4j,small,2,86.379
I2,Batch insert relacji WATCHED (1000),INSERT,neo4j,small,3,87.895
